spp,region,n()
Acantholithodes hispidus,Aleutian Islands,5474
Acantholithodes hispidus,Gulf of Alaska,10160
Acantholithodes hispidus,West Coast Annual,4584
Acanthostracion quadricornis,Gulf of Mexico,3089
Achelous spinicarpus,Gulf of Mexico,3089
Achelous spinimanus,Gulf of Mexico,3089
Achelous spinimanus,Southeast US Fall,2681
Achelous spinimanus,Southeast US Spring,2562
Achelous spinimanus,Southeast US Summer,2807
Actinauge verrilli,West Coast Annual,4584
Actiniaria spp.,Aleutian Islands,5474
Actiniaria spp.,Eastern Bering Sea,13071
Actiniaria spp.,Gulf of Alaska,10160
Actiniaria spp.,West Coast Annual,4584
Actiniaria spp.,West Coast Triennial,3535
Aequipecten muscosus,Gulf of Mexico,3089
Aetobatus narinari,Southeast US Fall,2681
Aetobatus narinari,Southeast US Spring,2562
Aforia circinata,Eastern Bering Sea,13071
Agonopsis vulsa,West Coast Annual,4584
Alectis ciliaris,Southeast US Summer,2807
Allocentrotus fragilis,Gulf of Alaska,10160
Allosmerus elongatus,West Coast Annual,4584
Allosmerus elongatus,West Coast Triennial,3535
Alosa aestivalis,Northeast US Fall,12884
Alosa aestivalis,Northeast US Spring,12479
Alosa pseudoharengus,Northeast US Fall,12884
Alosa pseudoharengus,Northeast US Spring,12479
Alosa pseudoharengus,Scotian Shelf,8380
Alosa sapidissima,Northeast US Fall,12884
Alosa sapidissima,Northeast US Spring,12479
Alosa sapidissima,Scotian Shelf,8338
Alosa sapidissima,West Coast Annual,4584
Alosa sapidissima,West Coast Triennial,3535
Aluterus heudelotii,Gulf of Mexico,3089
Aluterus schoepfii,Gulf of Mexico,3089
Aluterus schoepfii,Southeast US Fall,2681
Aluterus schoepfii,Southeast US Summer,2807
Amblyraja radiata,Northeast US Fall,12884
Amblyraja radiata,Northeast US Spring,12479
Amblyraja radiata,Scotian Shelf,8772
Ammodytes dubius,Northeast US Fall,12884
Ammodytes dubius,Northeast US Spring,12479
Ammodytes dubius,Scotian Shelf,8525
Ammodytes sp.,Aleutian Islands,5474
Ammodytes sp.,Eastern Bering Sea,13071
Ammodytes sp.,Gulf of Alaska,10160
Amusium papyraceum,Gulf of Mexico,3089
Anadara baughmani,Gulf of Mexico,3089
Anarhichas lupus,Northeast US Fall,12884
Anarhichas lupus,Northeast US Spring,12479
Anarhichas lupus,Scotian Shelf,8550
Anarhichas orientalis,Eastern Bering Sea,13071
Anarhichas orientalis,Gulf of Alaska,10160
Anarrhichthys ocellatus,Gulf of Alaska,10160
Anasimus latus,Gulf of Mexico,3089
Anchoa hepsetus,Gulf of Mexico,3089
Anchoa hepsetus,Northeast US Fall,12884
Anchoa mitchilli,Gulf of Mexico,3089
Anchoa mitchilli,Northeast US Fall,12884
Anchoa mitchilli,Northeast US Spring,12479
Anchoa spp.,Southeast US Fall,2681
Anchoa spp.,Southeast US Spring,2562
Anchoa spp.,Southeast US Summer,2807
Ancylopsetta dilecta,Gulf of Mexico,3089
Ancylopsetta ommata,Gulf of Mexico,3089
Ancylopsetta ommata,Southeast US Fall,2681
Ancylopsetta ommata,Southeast US Spring,2562
Ancylopsetta ommata,Southeast US Summer,2807
Anisodoris nobilis,West Coast Annual,4584
Anoplopoma fimbria,Aleutian Islands,5474
Anoplopoma fimbria,Gulf of Alaska,10160
Anoplopoma fimbria,West Coast Annual,4584
Anoplopoma fimbria,West Coast Triennial,3535
Antennarius ocellatus,Gulf of Mexico,3089
Antennarius radiosus,Gulf of Mexico,3089
Antennarius striatus,Gulf of Mexico,3089
Anthenoides peircei,Gulf of Mexico,3089
Anthomastus sp.,Aleutian Islands,5485
Anthopleura xanthogrammica,West Coast Annual,4584
Anthoptilum grandiflorum,West Coast Annual,4584
Aphrocallistes vastus,Aleutian Islands,5474
Aphrocallistes vastus,Gulf of Alaska,10160
Aphrodita,West Coast Annual,4584
Aphroditidae spp.,Eastern Bering Sea,13071
Aphroditidae spp.,Gulf of Alaska,10160
Aphroditidae spp.,West Coast Triennial,3535
Aplidium spp.,Eastern Bering Sea,13071
Aplysia,Gulf of Mexico,3089
Apogon affinis,Gulf of Mexico,3089
Apogon aurolineatus,Gulf of Mexico,3089
Apogon pseudomaculatus,Gulf of Mexico,3089
Apogon quadrisquamatus,Gulf of Mexico,3089
Apristurus brunneus,West Coast Annual,4584
Apristurus brunneus,West Coast Triennial,3535
Aptocyclus ventricosus,Aleutian Islands,5474
Aptocyclus ventricosus,Gulf of Alaska,10160
Arbacia punctulata,Gulf of Mexico,3089
Arca zebra,Gulf of Mexico,3089
Archosargus probatocephalus,Southeast US Fall,2681
Archosargus probatocephalus,Southeast US Spring,2562
Arctomelon stearnsii,Aleutian Islands,5474
Arctomelon stearnsii,Eastern Bering Sea,13071
Arctomelon stearnsii,Gulf of Alaska,10160
Arenaeus cribrarius,Gulf of Mexico,3089
Arenaeus cribrarius,Southeast US Fall,2681
Arenaeus cribrarius,Southeast US Spring,2562
Arenaeus cribrarius,Southeast US Summer,2807
Argentina sialis,West Coast Annual,4584
Argentina silus,Northeast US Fall,12884
Argentina silus,Northeast US Spring,12479
Argentina silus,Scotian Shelf,8339
Argis dentata,Eastern Bering Sea,13071
Argis dentata,Gulf of Alaska,10160
Argis lar,Eastern Bering Sea,13071
Argis spp.,Eastern Bering Sea,13071
Argis spp.,Gulf of Alaska,10160
Argopecten gibbus,Gulf of Mexico,3089
Ariopsis felis,Gulf of Mexico,3089
Ariopsis felis,Southeast US Fall,2681
Ariopsis felis,Southeast US Spring,2562
Ariopsis felis,Southeast US Summer,2807
Ascidiacea,Gulf of Mexico,3089
Aspidophoroides monopterygius,Eastern Bering Sea,13071
Asterias amurensis,Eastern Bering Sea,13071
Asteroporpa annulata,Gulf of Mexico,3089
Asterozoa spp.,Aleutian Islands,5474
Asterozoa spp.,Gulf of Alaska,10160
Asterozoa spp.,West Coast Triennial,3535
Astrapogon alutus,Gulf of Mexico,3089
Astropecten articulatus,Gulf of Mexico,3089
Astropecten cingulatus,Gulf of Mexico,3089
Astropecten duplicatus,Gulf of Mexico,3089
Astropecten verilli,West Coast Annual,4584
Astrophyton muricatum,Gulf of Mexico,3089
Atheresthes spp.,Aleutian Islands,5474
Atheresthes spp.,Eastern Bering Sea,13071
Atheresthes stomias,Gulf of Alaska,10160
Atheresthes stomias,West Coast Annual,4584
Atheresthes stomias,West Coast Triennial,3535
Aurelia,West Coast Annual,4584
Aurelia spp.,Gulf of Mexico,3089
Bagre marinus,Gulf of Mexico,3089
Bagre marinus,Southeast US Fall,2681
Bairdiella chrysoura,Gulf of Mexico,3089
Bairdiella chrysoura,Southeast US Fall,2681
Bairdiella chrysoura,Southeast US Spring,2562
Bairdiella chrysoura,Southeast US Summer,2807
Balanus spp.,Aleutian Islands,5474
Balanus spp.,Gulf of Alaska,10160
Balistes capriscus,Gulf of Mexico,3089
Bathyagonus nigripinnis,Aleutian Islands,5474
Bathyagonus nigripinnis,Gulf of Alaska,10160
Bathyagonus nigripinnis,West Coast Annual,4584
Bathyagonus pentacanthus,Gulf of Alaska,10160
Bathyagonus pentacanthus,West Coast Annual,4584
Bathymaster caeruleofasciatus,Aleutian Islands,5474
Bathymaster signatus,Aleutian Islands,5474
Bathymaster signatus,Eastern Bering Sea,13071
Bathymaster signatus,Gulf of Alaska,10160
Bathyplotes spp.,Aleutian Islands,5474
Bathyplotes spp.,Gulf of Alaska,10160
Bathyraja spp.,Aleutian Islands,5474
Bathyraja spp.,Eastern Bering Sea,13071
Bathyraja spp.,Gulf of Alaska,10160
Bathyraja spp.,West Coast Annual,4584
Bathyraja spp.,West Coast Triennial,3535
Bellator militaris,Gulf of Mexico,3089
Benthoctopus,West Coast Annual,4584
Benthoctopus leioderma,Gulf of Alaska,10160
Benthoctopus leioderma,West Coast Annual,4584
Beringius behringi,Eastern Bering Sea,13071
Beringius spp.,Aleutian Islands,5474
Beringius spp.,Eastern Bering Sea,13071
Beringraja binoculata,Aleutian Islands,5474
Beringraja binoculata,Gulf of Alaska,10160
Berryteuthis magister,Aleutian Islands,5474
Berryteuthis magister,Gulf of Alaska,10160
Bivalvia spp.,Eastern Bering Sea,13071
Bivalvia spp.,Gulf of Alaska,10160
Bolinia euryptera,Aleutian Islands,5474
Bollmannia communis,Gulf of Mexico,3089
Boltenia ovifera,Eastern Bering Sea,13071
Boltenia spp.,Eastern Bering Sea,13071
Boreogadus saida,Eastern Bering Sea,13071
Bothrocara pusillum,Gulf of Alaska,10160
Bothus,Gulf of Mexico,3089
Brachiopoda spp.,Gulf of Alaska,10160
